Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,6.4e-05,
Filter Frequency,7e+07,
Record Length,3124,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.1
Label,,
TIME,CH1,CH2
-8.7288e-02,1.17922,0.121563
-8.7224e-02,1.19891,0.127656
-8.7160e-02,1.23328,0.129672
-8.7096e-02,1.25359,0.132828
-8.7032e-02,1.28484,0.136969
-8.6968e-02,1.31813,0.140328
-8.6904e-02,1.35594,0.142891
-8.6840e-02,1.37547,0.147422
-8.6776e-02,1.41156,0.149359
-8.6712e-02,1.44422,0.153625
-8.6648e-02,1.47906,0.156969
-8.6584e-02,1.50094,0.159484
-8.6520e-02,1.53766,0.163734
-8.6456e-02,1.56547,0.166266
-8.6392e-02,1.60156,0.16875
-8.6328e-02,1.63484,0.172078
-8.6264e-02,1.66797,0.175172
-8.6200e-02,1.69703,0.176984
-8.6136e-02,1.73719,0.179656
-8.6072e-02,1.76281,0.183203
-8.6008e-02,1.80125,0.184
-8.5944e-02,1.83672,0.187406
-8.5880e-02,1.87813,0.188656
-8.5816e-02,1.91891,0.190938
-8.5752e-02,1.96141,0.193641
-8.5688e-02,2.00484,0.195656
-8.5624e-02,2.05234,0.197
-8.5560e-02,2.10125,0.199313
-8.5496e-02,2.15203,0.200906
-8.5432e-02,2.20063,0.203281
-8.5368e-02,2.24625,0.203906
-8.5304e-02,2.28672,0.204984
-8.5240e-02,2.33984,0.207
-8.5176e-02,2.38453,0.207922
-8.5112e-02,2.43328,0.209547
-8.5048e-02,2.48125,0.208313
-8.4984e-02,2.52781,0.210953
-8.4920e-02,2.56781,0.210484
-8.4856e-02,2.60797,0.210047
-8.4792e-02,2.65328,0.212594
-8.4728e-02,2.69063,0.211172
-8.4664e-02,2.72266,0.212141
-8.4600e-02,2.76031,0.212375
-8.4536e-02,2.785,0.211891
-8.4472e-02,2.80594,0.212234
-8.4408e-02,2.82672,0.210891
-8.4344e-02,2.84516,0.2115
-8.4280e-02,2.84406,0.210813
-8.4216e-02,2.85406,0.212047
-8.4152e-02,2.84969,0.208813
-8.4088e-02,2.8425,0.209234
-8.4024e-02,2.82359,0.208328
-8.3960e-02,2.80266,0.208391
-8.3896e-02,2.77297,0.209141
-8.3832e-02,2.73953,0.207141
-8.3768e-02,2.68922,0.204297
-8.3704e-02,2.64703,0.204375
-8.3640e-02,2.59859,0.201969
-8.3576e-02,2.56313,0.201391
-8.3512e-02,2.49969,0.200594
-8.3448e-02,2.44906,0.198484
-8.3384e-02,2.38453,0.197625
-8.3320e-02,2.32172,0.197656
-8.3256e-02,2.26219,0.196031
-8.3192e-02,2.20406,0.193078
-8.3128e-02,2.12891,0.191234
-8.3064e-02,2.06109,0.189031
-8.3000e-02,1.98016,0.188953
-8.2936e-02,1.92125,0.187922
-8.2872e-02,1.85063,0.184766
-8.2808e-02,1.79672,0.181688
-8.2744e-02,1.73219,0.181391
-8.2680e-02,1.67109,0.177391
-8.2616e-02,1.60922,0.176469
-8.2552e-02,1.55672,0.175391
-8.2488e-02,1.49438,0.172688
-8.2424e-02,1.43875,0.170281
-8.2360e-02,1.3775,0.168125
-8.2296e-02,1.32125,0.166172
-8.2232e-02,1.26469,0.164688
-8.2168e-02,1.21063,0.161203
-8.2104e-02,1.16219,0.158672
-8.2040e-02,1.10906,0.157172
-8.1976e-02,1.05578,0.152844
-8.1912e-02,1.01281,0.150188
-8.1848e-02,0.965625,0.147
-8.1784e-02,0.916719,0.145047
-8.1720e-02,0.875,0.141313
-8.1656e-02,0.830625,0.138828
-8.1592e-02,0.784219,0.135422
-8.1528e-02,0.736719,0.133125
-8.1464e-02,0.69625,0.129
-8.1400e-02,0.665313,0.125656
-8.1336e-02,0.612656,0.124563
-8.1272e-02,0.57,0.119734
-8.1208e-02,0.531875,0.117563
-8.1144e-02,0.487344,0.112484
-8.1080e-02,0.449531,0.109484
-8.1016e-02,0.407969,0.107609
-8.0952e-02,0.38,0.104313
-8.0888e-02,0.345781,0.100672
-8.0824e-02,0.302344,0.0977813
-8.0760e-02,0.27625,0.093
-8.0696e-02,0.239063,0.0902031
-8.0632e-02,0.203438,0.0848125
-8.0568e-02,0.165313,0.0815313
-8.0504e-02,0.135313,0.0787813
-8.0440e-02,0.110156,0.0755938
-8.0376e-02,0.0764063,0.0719375
-8.0312e-02,0.0403125,0.0670469
-8.0248e-02,0.0142188,0.0628906
-8.0184e-02,-0.0165625,0.059125
-8.0120e-02,-0.0485937,0.0556094
-8.0056e-02,-0.0845312,0.0499688
-7.9992e-02,-0.114375,0.0467031
-7.9928e-02,-0.13375,0.0422344
-7.9864e-02,-0.165625,0.0392031
-7.9800e-02,-0.195937,0.0350781
-7.9736e-02,-0.2275,0.0303906
-7.9672e-02,-0.251094,0.0264844
-7.9608e-02,-0.279687,0.0216094
-7.9544e-02,-0.313281,0.01775
-7.9480e-02,-0.339687,0.0144375
-7.9416e-02,-0.359219,0.00959375
-7.9352e-02,-0.39,0.00545312
-7.9288e-02,-0.410937,0.00021875
-7.9224e-02,-0.437344,-0.00317188
-7.9160e-02,-0.456406,-0.00790625
-7.9096e-02,-0.481094,-0.0107969
-7.9032e-02,-0.508906,-0.0163125
-7.8968e-02,-0.530469,-0.01925
-7.8904e-02,-0.56125,-0.0240156
-7.8840e-02,-0.586875,-0.029
-7.8776e-02,-0.61,-0.0344375
-7.8712e-02,-0.638594,-0.0384063
-7.8648e-02,-0.655937,-0.0417656
-7.8584e-02,-0.687969,-0.0448906
-7.8520e-02,-0.710469,-0.0492656
-7.8456e-02,-0.740937,-0.0530781
-7.8392e-02,-0.75875,-0.0578125
-7.8328e-02,-0.7875,-0.0612656
-7.8264e-02,-0.813594,-0.0654063
-7.8200e-02,-0.837187,-0.0680625
-7.8136e-02,-0.864219,-0.0742344
-7.8072e-02,-0.884844,-0.0761406
-7.8008e-02,-0.912656,-0.0818281
-7.7944e-02,-0.932344,-0.0852656
-7.7880e-02,-0.95875,-0.0887031
-7.7816e-02,-0.98,-0.0934531
-7.7752e-02,-1.00828,-0.0972813
-7.7688e-02,-1.03469,-0.101047
-7.7624e-02,-1.05609,-0.104219
-7.7560e-02,-1.08375,-0.107625
-7.7496e-02,-1.11172,-0.111906
-7.7432e-02,-1.12516,-0.115469
-7.7368e-02,-1.15844,-0.118625
-7.7304e-02,-1.18937,-0.122563
-7.7240e-02,-1.21344,-0.126531
-7.7176e-02,-1.23828,-0.129688
-7.7112e-02,-1.27125,-0.133078
-7.7048e-02,-1.29391,-0.137078
-7.6984e-02,-1.32484,-0.140281
-7.6920e-02,-1.35719,-0.144766
-7.6856e-02,-1.38937,-0.147297
-7.6792e-02,-1.42141,-0.151953
-7.6728e-02,-1.44875,-0.154813
-7.6664e-02,-1.47875,-0.157922
-7.6600e-02,-1.50891,-0.162016
-7.6536e-02,-1.52609,-0.163984
-7.6472e-02,-1.55922,-0.166922
-7.6408e-02,-1.59766,-0.169563
-7.6344e-02,-1.62047,-0.1735
-7.6280e-02,-1.66062,-0.175469
-7.6216e-02,-1.69047,-0.177219
-7.6152e-02,-1.73,-0.179891
-7.6088e-02,-1.76219,-0.18225
-7.6024e-02,-1.80797,-0.184109
-7.5960e-02,-1.84609,-0.187047
-7.5896e-02,-1.88922,-0.188156
-7.5832e-02,-1.93375,-0.191156
-7.5768e-02,-1.97594,-0.191859
-7.5704e-02,-2.015,-0.195313
-7.5640e-02,-2.0625,-0.197047
-7.5576e-02,-2.10984,-0.198922
-7.5512e-02,-2.14859,-0.201422
-7.5448e-02,-2.19219,-0.202594
-7.5384e-02,-2.23797,-0.204609
-7.5320e-02,-2.27875,-0.204984
-7.5256e-02,-2.32453,-0.206047
-7.5192e-02,-2.36937,-0.208578
-7.5128e-02,-2.41875,-0.209297
-7.5064e-02,-2.47094,-0.208922
-7.5000e-02,-2.51578,-0.208766
-7.4936e-02,-2.56344,-0.210125
-7.4872e-02,-2.60641,-0.210703
-7.4808e-02,-2.65344,-0.212281
-7.4744e-02,-2.69094,-0.212375
-7.4680e-02,-2.72359,-0.212031
-7.4616e-02,-2.75906,-0.213391
-7.4552e-02,-2.78828,-0.211734
-7.4488e-02,-2.81109,-0.211641
-7.4424e-02,-2.82812,-0.211469
-7.4360e-02,-2.84547,-0.212172
-7.4296e-02,-2.85578,-0.212344
-7.4232e-02,-2.84719,-0.211375
-7.4168e-02,-2.86031,-0.210172
-7.4104e-02,-2.84547,-0.209797
-7.4040e-02,-2.83969,-0.210469
-7.3976e-02,-2.81422,-0.207938
-7.3912e-02,-2.79422,-0.208141
-7.3848e-02,-2.75594,-0.207406
-7.3784e-02,-2.71781,-0.205031
-7.3720e-02,-2.67516,-0.206516
-7.3656e-02,-2.62547,-0.2055
-7.3592e-02,-2.57547,-0.203766
-7.3528e-02,-2.51437,-0.203734
-7.3464e-02,-2.46016,-0.197703
-7.3400e-02,-2.40578,-0.197656
-7.3336e-02,-2.34547,-0.196297
-7.3272e-02,-2.28781,-0.196359
-7.3208e-02,-2.22219,-0.193953
-7.3144e-02,-2.15875,-0.19225
-7.3080e-02,-2.09969,-0.190594
-7.3016e-02,-2.03875,-0.189578
-7.2952e-02,-1.95937,-0.188375
-7.2888e-02,-1.89625,-0.185453
-7.2824e-02,-1.83406,-0.183469
-7.2760e-02,-1.75875,-0.181656
-7.2696e-02,-1.69641,-0.180859
-7.2632e-02,-1.63359,-0.177625
-7.2568e-02,-1.57297,-0.176375
-7.2504e-02,-1.51797,-0.175031
-7.2440e-02,-1.46453,-0.172453
-7.2376e-02,-1.40578,-0.170469
-7.2312e-02,-1.35375,-0.165281
-7.2248e-02,-1.29781,-0.165906
-7.2184e-02,-1.24234,-0.163328
-7.2120e-02,-1.19484,-0.159875
-7.2056e-02,-1.13625,-0.157172
-7.1992e-02,-1.09781,-0.155531
-7.1928e-02,-1.05219,-0.153328
-7.1864e-02,-1.00344,-0.150516
-7.1800e-02,-0.959687,-0.146891
-7.1736e-02,-0.914375,-0.145469
-7.1672e-02,-0.866875,-0.141125
-7.1608e-02,-0.820937,-0.139969
-7.1544e-02,-0.775469,-0.136188
-7.1480e-02,-0.737812,-0.133703
-7.1416e-02,-0.689687,-0.129422
-7.1352e-02,-0.645469,-0.126453
-7.1288e-02,-0.605156,-0.122531
-7.1224e-02,-0.563437,-0.119313
-7.1160e-02,-0.522656,-0.115906
-7.1096e-02,-0.4825,-0.112828
-7.1032e-02,-0.449219,-0.109625
-7.0968e-02,-0.419531,-0.107172
-7.0904e-02,-0.389844,-0.102328
-7.0840e-02,-0.356094,-0.100375
-7.0776e-02,-0.321094,-0.0959531
-7.0712e-02,-0.283906,-0.0914375
-7.0648e-02,-0.250781,-0.0879531
-7.0584e-02,-0.217031,-0.0845156
-7.0520e-02,-0.190937,-0.0812813
-7.0456e-02,-0.154531,-0.076125
-7.0392e-02,-0.11875,-0.0724375
-7.0328e-02,-0.0848437,-0.0688594
-7.0264e-02,-0.0582812,-0.0653594
-7.0200e-02,-0.026875,-0.0607188
-7.0136e-02,-0.00203124,-0.0561406
-7.0072e-02,0.0376563,-0.0531875
-7.0008e-02,0.0626563,-0.0499219
-6.9944e-02,0.0853125,-0.0449219
-6.9880e-02,0.117656,-0.0417969
-6.9816e-02,0.155,-0.0370469
-6.9752e-02,0.174844,-0.0324531
-6.9688e-02,0.203594,-0.0276406
-6.9624e-02,0.23625,-0.0256875
-6.9560e-02,0.262344,-0.0194063
-6.9496e-02,0.284219,-0.0162969
-6.9432e-02,0.316094,-0.0109531
-6.9368e-02,0.348281,-0.00670313
-6.9304e-02,0.372656,-0.0020625
-6.9240e-02,0.403438,-9.37501e-05
-6.9176e-02,0.434063,0.00665625
-6.9112e-02,0.448594,0.0105781
-6.9048e-02,0.476406,0.0133438
-6.8984e-02,0.5025,0.0190781
-6.8920e-02,0.526875,0.0213594
-6.8856e-02,0.5625,0.02575
-6.8792e-02,0.588281,0.0291406
-6.8728e-02,0.603594,0.0338906
-6.8664e-02,0.634219,0.0387188
-6.8600e-02,0.657813,0.0439844
-6.8536e-02,0.685,0.0474063
-6.8472e-02,0.712031,0.0499375
-6.8408e-02,0.725781,0.0544688
-6.8344e-02,0.76125,0.0589688
-6.8280e-02,0.778125,0.0625
-6.8216e-02,0.80125,0.0660469
-6.8152e-02,0.832656,0.0711719
-6.8088e-02,0.849063,0.0753125
-6.8024e-02,0.88125,0.0791094
-6.7960e-02,0.904219,0.0827969
-6.7896e-02,0.924844,0.0872813
-6.7832e-02,0.950469,0.0913906
-6.7768e-02,0.97375,0.09525
-6.7704e-02,1.00375,0.0983438
-6.7640e-02,1.02797,0.103219
-6.7576e-02,1.05453,0.105891
-6.7512e-02,1.07891,0.109563
-6.7448e-02,1.10953,0.112531
-6.7384e-02,1.13625,0.115234
-6.7320e-02,1.15766,0.119875
-6.7256e-02,1.19,0.123328
-6.7192e-02,1.20438,0.126797
-6.7128e-02,1.24125,0.131531
-6.7064e-02,1.27234,0.134219
-6.7000e-02,1.29719,0.138266
-6.6936e-02,1.33375,0.140656
-6.6872e-02,1.36125,0.144094
-6.6808e-02,1.39891,0.148469
-6.6744e-02,1.43297,0.152031
-6.6680e-02,1.45484,0.156531
-6.6616e-02,1.49094,0.157766
-6.6552e-02,1.51188,0.162016
-6.6488e-02,1.54359,0.165453
-6.6424e-02,1.57734,0.167734
-6.6360e-02,1.61703,0.170734
-6.6296e-02,1.64297,0.172125
-6.6232e-02,1.67938,0.175469
-6.6168e-02,1.7175,0.178406
-6.6104e-02,1.75344,0.181781
-6.6040e-02,1.78141,0.183734
-6.5976e-02,1.81734,0.186016
-6.5912e-02,1.85625,0.188203
-6.5848e-02,1.89172,0.190859
-6.5784e-02,1.93172,0.192078
-6.5720e-02,1.97266,0.194328
-6.5656e-02,2.03,0.195547
-6.5592e-02,2.07266,0.196953
-6.5528e-02,2.11734,0.200266
-6.5464e-02,2.16234,0.201688
-6.5400e-02,2.21688,0.204141
-6.5336e-02,2.26281,0.203422
-6.5272e-02,2.30844,0.205203
-6.5208e-02,2.35609,0.208156
-6.5144e-02,2.40375,0.208375
-6.5080e-02,2.45,0.2075
-6.5016e-02,2.49594,0.208141
-6.4952e-02,2.54953,0.21075
-6.4888e-02,2.58938,0.210734
-6.4824e-02,2.63469,0.213
-6.4760e-02,2.67281,0.210969
-6.4696e-02,2.70641,0.214078
-6.4632e-02,2.7425,0.212531
-6.4568e-02,2.76797,0.214547
-6.4504e-02,2.79734,0.213469
-6.4440e-02,2.815,0.210891
-6.4376e-02,2.83469,0.212734
-6.4312e-02,2.84953,0.211297
-6.4248e-02,2.85188,0.210938
-6.4184e-02,2.85125,0.212813
-6.4120e-02,2.84469,0.209906
-6.4056e-02,2.8325,0.209219
-6.3992e-02,2.81375,0.208344
-6.3928e-02,2.79109,0.207172
-6.3864e-02,2.76172,0.206047
-6.3800e-02,2.71891,0.206422
-6.3736e-02,2.68359,0.204109
-6.3672e-02,2.63016,0.204469
-6.3608e-02,2.5875,0.203156
-6.3544e-02,2.53094,0.200859
-6.3480e-02,2.48328,0.200516
-6.3416e-02,2.425,0.199688
-6.3352e-02,2.36609,0.199031
-6.3288e-02,2.30313,0.196109
